age,job,marital,education,balance,housing,duration,campaign,approval
54.0,9,0,1,966,,579.0,1,no
41.0,1,1,0,69,no,554.0,3,no
63.0,5,1,1,670,yes,323.0,1,no
48.0,4,1,2,2118,no,227.0,2,no
48.0,7,1,1,1306,no,134.0,2,no
56.0,0,1,1,2323,no,223.0,1,no
51.0,1,0,1,473,yes,134.0,1,no
31.0,7,1,1,599,yes,155.0,1,no
29.0,9,1,1,697,yes,130.0,4,no
41.0,4,1,1,274,no,630.0,3,no
32.0,9,2,2,620,no,164.0,2,no
37.0,4,1,2,274,no,268.0,2,yes
42.0,2,0,2,276,yes,380.0,1,no
31.0,4,2,2,2137,yes,154.0,2,no
41.0,7,1,2,667,yes,154.0,5,no
56.0,5,1,1,605,yes,221.0,1,no
54.0,4,0,2,1816,no,67.0,2,no
41.0,1,0,1,445,yes,367.0,2,no
40.0,9,2,1,816,no,87.0,6,no
50.0,1,0,0,646,no,701.0,1,no
40.0,10,1,1,489,yes,204.0,2,no
27.0,0,0,1,703,yes,652.0,1,yes
60.0,5,1,0,279,no,63.0,2,no
28.0,0,2,1,448,yes,150.0,1,no
52.0,7,1,1,870,no,398.0,2,yes
37.0,4,1,2,1285,no,224.0,1,yes
51.0,1,1,0,1347,yes,406.0,2,no
41.0,9,2,1,1034,no,60.0,4,no
35.0,1,2,0,556,yes,521.0,2,no
38.0,0,1,1,678,yes,279.0,1,no
34.0,1,1,1,1488,yes,203.0,2,no
39.0,1,1,0,385,no,201.0,2,no
34.0,1,1,0,707,,372.0,3,no
27.0,7,2,1,174,yes,391.0,1,yes
32.0,4,2,2,1881,no,165.0,2,no
57.0,1,1,1,2306,no,231.0,5,no
41.0,11,2,2,1395,no,291.0,2,no
41.0,0,1,2,2089,yes,149.0,2,no
30.0,0,2,2,528,no,233.0,1,no
36.0,1,0,1,1747,no,473.0,1,no
31.0,10,2,0,662,no,736.0,1,yes
36.0,1,1,1,274,yes,337.0,1,no
38.0,4,2,2,742,yes,553.0,1,no
49.0,9,1,1,2125,no,345.0,2,no
57.0,7,2,0,1907,yes,65.0,2,no
34.0,4,2,1,766,no,9.0,1,no
32.0,4,2,2,802,yes,259.0,2,no
37.0,1,1,1,681,yes,371.0,3,no
33.0,6,1,2,733,yes,280.0,2,no
56.0,10,1,0,1847,no,243.0,1,yes
27.0,3,1,0,274,yes,435.0,3,no
21.0,8,2,1,1668,no,258.0,6,yes
58.0,4,1,2,1369,yes,7.0,5,no
32.0,6,1,1,487,yes,317.0,5,no
33.0,1,2,1,296,no,76.0,2,no
25.0,8,2,1,593,no,170.0,4,yes
25.0,9,2,1,752,no,386.0,2,yes
30.0,7,1,1,1481,yes,83.0,2,no
22.0,0,2,1,1958,no,65.0,1,no
39.0,1,1,0,326,no,69.0,1,no
46.0,4,0,2,299,no,564.0,2,no
31.0,0,0,1,1506,yes,588.0,1,no
45.0,1,1,0,673,no,113.0,4,no
32.0,9,1,1,1716,yes,16.0,1,no
36.0,1,1,1,158,no,779.0,2,no
51.0,4,2,2,235,yes,281.0,2,no
34.0,6,2,2,712,no,1877.0,3,yes
24.0,10,2,1,393,no,51.0,1,no
45.0,9,2,1,812,no,32.0,3,no
32.0,1,2,1,498,no,176.0,1,no
77.0,5,0,2,2016,no,161.0,1,yes
41.0,1,1,0,439,yes,187.0,3,no
37.0,1,1,0,274,yes,24.0,1,no
43.0,1,1,3,34,yes,67.0,3,no
48.0,0,1,3,274,yes,85.0,1,no
27.0,9,2,1,952,yes,317.0,2,no
33.0,4,2,2,274,no,-98.0,10,no
29.0,0,2,1,682,yes,54.0,1,no
34.0,4,2,2,274,no,71.0,1,no
52.0,4,1,2,15,yes,489.0,1,yes
60.0,4,1,3,2141,no,39.0,2,no
32.0,4,0,2,1074,no,204.0,2,no
32.0,4,2,2,274,yes,455.0,2,no
56.0,7,0,3,1502,yes,86.0,1,no
31.0,4,2,2,1030,yes,190.0,2,no
42.0,0,1,1,585,yes,280.0,2,no
35.0,4,1,2,380,no,588.0,2,no
56.0,5,1,0,1512,no,45.0,9,no
48.0,9,1,1,1199,yes,168.0,5,no
46.0,0,1,1,450,yes,194.0,4,no
37.0,9,2,3,649,yes,103.0,3,no
41.0,2,1,3,363,yes,333.0,2,no
36.0,4,2,2,695,yes,102.0,3,no
45.0,10,0,0,151,yes,92.0,1,no
55.0,2,1,1,2214,no,213.0,2,no
39.0,9,1,1,749,no,289.0,1,no
35.0,9,0,1,570,no,77.0,2,no
55.0,0,1,1,824,no,324.0,3,yes
55.0,9,1,1,539,yes,84.0,3,no
27.0,6,2,1,324,no,168.0,1,no
34.0,9,1,1,1427,yes,380.0,1,no
34.0,1,1,2,294,no,10.0,1,no
25.0,0,2,1,2010,yes,199.0,2,no
41.0,0,2,1,146,no,-35.0,3,no
43.0,7,1,1,1093,yes,82.0,2,no
28.0,4,2,2,354,no,676.0,2,yes
31.0,0,2,1,1569,yes,455.0,1,no
78.0,3,1,1,747,no,80.0,4,no
45.0,1,0,1,1261,yes,549.0,2,no
48.0,9,1,2,572,no,135.0,1,no
32.0,1,2,1,1192,yes,412.0,1,no
42.0,9,1,1,1775,no,101.0,3,no
37.0,4,2,2,311,no,253.0,2,no
40.0,0,2,1,712,yes,272.0,1,no
32.0,0,1,1,1128,yes,84.0,1,no
42.0,4,1,2,2241,no,135.0,2,no
43.0,0,1,1,78,yes,166.0,1,no
44.0,0,1,1,2072,yes,18.0,7,no
37.0,0,1,1,447,yes,147.0,2,no
37.0,11,1,3,1451,no,63.0,1,no
37.0,0,1,2,274,yes,65.0,2,no
28.0,9,2,2,443,yes,194.0,2,no
32.0,7,2,1,274,no,333.0,2,no
34.0,0,2,1,2170,yes,14.0,5,no
40.0,0,0,1,280,no,140.0,1,no
34.0,7,1,1,232,yes,109.0,3,no
34.0,6,1,2,1534,yes,61.0,2,no
34.0,0,1,2,1046,yes,377.0,3,no
37.0,7,2,1,295,yes,96.0,1,no
36.0,9,1,1,297,yes,152.0,2,no
56.0,5,1,1,9,yes,382.0,2,yes
49.0,1,1,0,274,yes,97.0,6,no
33.0,6,1,1,485,yes,543.0,12,no
30.0,4,2,2,1311,no,240.0,2,no
36.0,7,1,1,1537,no,48.0,2,no
23.0,8,2,1,2247,no,471.0,2,no
57.0,5,0,1,313,yes,354.0,3,no
27.0,1,2,1,2100,yes,435.0,2,no
38.0,7,1,1,275,no,152.0,2,no
42.0,9,1,2,965,no,285.0,1,no
75.0,5,1,1,1906,no,185.0,1,yes
34.0,9,2,2,1103,yes,301.0,1,no
48.0,9,1,1,1374,no,273.0,2,no
35.0,9,2,2,1710,yes,768.0,2,yes
39.0,4,0,2,1285,yes,1337.0,4,no
29.0,1,2,2,707,no,403.0,1,yes
45.0,9,2,2,274,yes,139.0,2,no
42.0,9,1,1,1550,yes,196.0,1,no
29.0,9,1,1,1412,yes,115.0,1,no
38.0,7,2,1,173,yes,60.0,1,no
56.0,5,1,1,1295,no,17.0,14,no
36.0,9,2,1,2245,yes,141.0,3,no
25.0,1,2,1,112,yes,95.0,3,no
38.0,9,1,2,686,yes,10.0,2,no
57.0,6,1,1,2281,no,198.0,1,no
31.0,4,1,2,149,no,220.0,4,no
42.0,4,1,2,632,yes,654.0,2,yes
45.0,9,1,1,1326,no,71.0,2,no
30.0,1,1,1,1090,yes,256.0,2,no
49.0,1,1,0,567,yes,834.0,10,no
49.0,7,1,1,656,no,151.0,3,no
53.0,5,1,2,256,yes,20.0,3,no
37.0,9,1,1,1945,yes,178.0,5,no
49.0,1,1,0,625,no,59.0,2,no
41.0,6,1,0,474,no,111.0,7,no
54.0,4,1,0,1446,yes,186.0,1,no
32.0,7,2,1,662,yes,227.0,1,no
33.0,9,1,1,170,no,297.0,3,no
33.0,9,1,1,619,yes,210.0,1,no
36.0,1,1,0,397,yes,9.0,1,no
35.0,9,1,2,274,yes,112.0,1,no
52.0,11,1,1,415,no,112.0,6,no
40.0,2,1,2,1873,no,222.0,3,no
44.0,9,2,1,307,yes,195.0,3,no
45.0,1,2,1,274,yes,768.0,2,no
30.0,8,2,1,1796,no,123.0,1,no
48.0,9,0,1,294,no,145.0,3,no
33.0,1,1,1,1876,yes,124.0,1,no
57.0,9,1,3,476,yes,216.0,3,no
57.0,3,1,0,2177,no,69.0,3,no
51.0,10,1,2,1425,yes,168.0,4,no
34.0,0,2,1,275,yes,483.0,7,no
50.0,6,1,2,1941,no,690.0,3,no
44.0,4,1,2,1905,no,125.0,12,no
27.0,0,1,1,152,yes,344.0,2,no
50.0,1,1,1,828,yes,673.0,2,no
36.0,4,1,2,274,yes,60.0,1,no
42.0,4,1,1,178,yes,247.0,2,no
32.0,10,2,1,274,no,123.0,2,no
42.0,4,1,2,734,yes,144.0,2,no
43.0,9,1,1,274,no,9.0,2,no
31.0,4,1,2,651,yes,155.0,3,no
32.0,4,1,2,1638,no,134.0,5,no
55.0,1,0,0,665,no,221.0,2,no
58.0,5,1,0,1848,yes,84.0,3,no
46.0,1,1,0,492,no,71.0,2,no
55.0,1,1,1,1100,yes,246.0,4,no
34.0,4,1,2,670,no,361.0,2,no
28.0,10,2,1,290,no,119.0,4,no
42.0,9,0,2,2182,yes,375.0,2,no
29.0,1,2,1,732,no,1097.0,3,yes
54.0,3,1,1,479,yes,97.0,1,no
32.0,9,2,1,274,no,181.0,2,no
39.0,9,2,2,2114,no,83.0,3,no
53.0,2,1,2,842,no,180.0,4,no
58.0,9,1,2,1037,no,543.0,1,no
40.0,6,1,1,1368,yes,373.0,1,no
29.0,8,2,1,1029,yes,230.0,1,no
33.0,9,1,2,14,yes,83.0,3,no
38.0,0,2,1,1049,yes,58.0,13,no
56.0,7,0,1,1110,no,88.0,6,no
40.0,7,1,1,274,yes,297.0,1,no
24.0,1,2,1,445,yes,487.0,1,yes
46.0,4,1,1,2285,no,29.0,3,no
35.0,6,1,1,766,yes,484.0,4,no
35.0,1,2,2,274,yes,262.0,4,no
34.0,9,1,1,278,yes,644.0,1,no
35.0,3,1,2,2275,no,699.0,2,no
38.0,9,2,2,274,no,247.0,2,no
50.0,1,1,0,2110,no,49.0,3,no
51.0,1,0,0,311,yes,341.0,1,no
59.0,6,1,2,818,no,64.0,2,no
32.0,1,1,1,1196,yes,121.0,1,no
37.0,1,2,1,1872,yes,98.0,1,no
42.0,0,0,1,337,no,88.0,6,no
40.0,8,1,1,527,no,197.0,6,no
28.0,9,2,2,1613,yes,331.0,1,no
47.0,0,1,1,1149,yes,83.0,3,no
27.0,6,1,1,164,yes,138.0,2,no
41.0,4,1,2,323,yes,312.0,5,no
34.0,0,1,2,343,no,120.0,3,yes
50.0,1,1,0,1957,yes,526.0,2,yes
47.0,1,1,1,730,yes,211.0,2,no
53.0,7,1,1,2053,no,62.0,6,no
53.0,9,0,1,274,yes,135.0,5,no
47.0,4,1,2,1892,no,101.0,2,no
49.0,2,0,3,37,yes,988.0,2,yes
29.0,4,1,2,703,no,451.0,1,no
45.0,1,0,0,129,yes,1030.0,1,yes
38.0,2,1,1,818,yes,1484.0,24,yes
32.0,1,1,1,944,yes,317.0,5,yes
70.0,5,0,0,2002,no,445.0,1,no
65.0,5,0,0,1491,no,383.0,2,no
56.0,1,1,1,606,yes,605.0,1,no
35.0,1,1,1,1272,yes,330.0,2,no
56.0,4,1,3,614,no,171.0,2,no
56.0,9,1,1,475,no,442.0,2,no
49.0,2,1,1,892,yes,772.0,1,yes
38.0,10,1,0,1195,yes,249.0,5,no
35.0,4,1,2,1977,yes,357.0,1,no
38.0,0,1,2,827,no,147.0,2,no
49.0,1,1,1,2230,yes,199.0,7,no
55.0,4,1,3,791,no,271.0,2,no
43.0,1,2,0,276,yes,783.0,3,no
43.0,4,1,2,276,no,472.0,2,no
25.0,0,2,2,945,yes,223.0,3,yes
30.0,1,1,0,1286,yes,395.0,2,no
46.0,1,1,1,453,no,56.0,1,no
50.0,0,1,0,541,no,641.0,6,no
35.0,2,1,1,1771,no,429.0,4,yes
26.0,10,2,1,1152,no,113.0,1,no
45.0,0,1,3,1473,no,11.0,11,no
37.0,1,1,1,230,no,157.0,1,no
60.0,6,2,2,450,no,79.0,4,no
38.0,4,1,2,1229,no,178.0,1,yes
47.0,1,1,0,484,yes,168.0,1,no
33.0,9,1,1,2154,no,425.0,1,no
51.0,10,1,1,1468,no,162.0,1,no
35.0,2,2,2,418,yes,-799.0,2,yes
35.0,10,1,1,1093,no,1370.0,3,yes
48.0,0,2,1,1198,yes,357.0,1,no
37.0,0,1,1,395,no,22.0,6,no
29.0,9,2,2,1001,yes,215.0,3,no
34.0,0,1,1,511,yes,56.0,4,no
32.0,7,1,0,498,yes,1017.0,6,yes
30.0,4,2,2,678,no,298.0,4,yes
47.0,4,0,2,700,no,126.0,1,no
33.0,1,1,0,174,no,9.0,1,no
33.0,4,2,2,1326,yes,8.0,1,no
63.0,5,1,0,1163,no,201.0,1,no
51.0,6,0,0,2273,no,106.0,2,no
41.0,4,1,2,1002,yes,164.0,1,no
56.0,5,1,2,728,no,97.0,1,no
60.0,4,2,2,274,no,151.0,1,no
41.0,6,2,2,1933,yes,96.0,2,no
37.0,4,2,3,751,yes,555.0,1,no
36.0,1,2,1,489,yes,270.0,2,no
57.0,4,1,2,1414,no,339.0,3,no
55.0,4,1,0,1693,no,328.0,2,yes
44.0,0,1,1,274,yes,159.0,1,no
47.0,6,1,2,1624,yes,323.0,2,no
31.0,1,1,1,1431,yes,342.0,1,no
35.0,4,1,2,306,yes,180.0,1,no
39.0,4,1,2,542,no,60.0,3,no
50.0,4,1,2,278,no,223.0,1,no
29.0,4,1,2,580,yes,1434.0,2,no
30.0,7,2,1,479,yes,30.0,2,no
46.0,7,1,1,537,yes,134.0,4,no
27.0,4,2,3,1813,no,10.0,2,no
48.0,0,0,1,1955,no,397.0,2,yes
26.0,8,2,1,1690,yes,620.0,1,no
36.0,4,2,2,600,no,6.0,6,no
42.0,1,1,0,274,yes,209.0,2,no
50.0,3,1,0,651,yes,419.0,2,no
49.0,1,1,1,1554,yes,283.0,2,no
45.0,4,1,2,2092,no,188.0,2,no
23.0,8,2,1,963,no,267.0,1,no
38.0,9,2,1,274,yes,196.0,2,no
32.0,4,2,2,2227,yes,245.0,1,no
60.0,9,2,0,2276,no,323.0,1,yes
30.0,2,1,1,1073,yes,1065.0,1,no
58.0,3,1,2,745,no,138.0,5,no
60.0,5,1,0,329,no,207.0,1,no
38.0,7,1,1,192,no,456.0,3,no
51.0,9,1,1,105,yes,261.0,1,no
42.0,0,1,1,99,yes,80.0,1,no
30.0,7,2,1,274,yes,131.0,6,no
40.0,4,1,0,924,yes,94.0,7,no
37.0,4,1,2,650,yes,567.0,3,yes
53.0,9,0,0,2185,yes,153.0,1,no
27.0,7,2,1,718,yes,109.0,1,no
39.0,1,1,1,274,yes,53.0,1,no
39.0,1,1,0,1896,yes,77.0,1,no
59.0,5,1,2,2256,no,234.0,2,yes
37.0,7,1,1,1293,yes,121.0,2,no
41.0,1,1,0,282,yes,155.0,2,no
45.0,1,1,0,335,no,108.0,1,no
48.0,4,1,2,2150,no,159.0,3,no
48.0,9,1,1,565,yes,208.0,3,no
32.0,1,1,1,1109,no,215.0,1,no
35.0,7,1,1,383,yes,597.0,3,no
33.0,4,2,2,1250,yes,505.0,2,no
28.0,1,2,0,274,yes,380.0,4,no
64.0,5,1,3,1762,no,120.0,1,no
35.0,9,1,1,274,no,106.0,4,no
33.0,1,1,1,317,yes,332.0,2,no
41.0,9,1,1,551,yes,221.0,4,no
34.0,0,1,1,833,yes,80.0,1,no
37.0,9,2,2,2132,no,60.0,5,no
38.0,1,1,0,439,yes,212.0,3,no
39.0,1,1,0,2195,yes,493.0,3,no
35.0,9,0,2,2001,yes,98.0,2,no
28.0,1,2,1,761,no,681.0,1,yes
27.0,1,2,1,421,no,203.0,1,no
48.0,5,1,0,140,no,157.0,1,no
50.0,1,1,1,1038,no,287.0,1,no
45.0,6,1,1,1797,yes,159.0,2,no
41.0,9,1,2,931,yes,125.0,1,no
39.0,9,1,1,403,no,202.0,2,no
44.0,4,1,1,692,yes,37.0,3,no
54.0,0,1,1,274,no,161.0,1,yes
49.0,4,1,2,584,no,72.0,4,no
34.0,1,2,1,457,no,342.0,1,no
75.0,5,0,2,1913,yes,262.0,1,yes
42.0,4,1,2,274,no,325.0,2,no
53.0,1,1,1,1986,no,223.0,7,no
49.0,4,0,2,941,no,1212.0,4,yes
31.0,7,2,1,1560,no,319.0,2,no
45.0,1,2,0,1108,no,182.0,2,no
39.0,6,1,1,438,yes,330.0,1,no
46.0,9,1,1,1289,yes,514.0,1,no
42.0,0,0,1,1161,yes,213.0,1,no
37.0,4,1,2,750,yes,551.0,1,no
26.0,9,2,2,1238,yes,472.0,2,no
37.0,4,2,2,1031,yes,140.0,4,no
36.0,7,2,1,603,yes,142.0,1,no
29.0,1,2,0,1076,yes,135.0,3,no
36.0,1,1,0,1089,yes,293.0,1,no
26.0,9,1,2,1915,yes,107.0,1,no
32.0,1,1,1,1642,yes,127.0,2,no
40.0,4,1,2,777,yes,1816.0,1,no
53.0,4,1,0,1105,no,200.0,3,no
29.0,4,1,2,294,yes,418.0,1,no
34.0,9,2,2,498,yes,387.0,4,no
43.0,1,1,1,403,no,156.0,1,no
56.0,4,1,2,487,no,121.0,2,no
55.0,2,0,2,274,no,108.0,2,no
31.0,6,1,2,526,yes,47.0,1,no
27.0,0,2,1,837,yes,16.0,5,no
36.0,4,1,1,861,yes,54.0,2,no
44.0,4,1,2,296,yes,265.0,2,no
37.0,0,0,2,1979,yes,168.0,1,no
30.0,0,2,1,508,yes,115.0,3,no
42.0,9,2,1,540,no,31.0,8,no
30.0,4,1,2,1242,yes,279.0,4,yes
62.0,5,1,1,990,no,28.0,2,no
24.0,1,1,1,1243,yes,369.0,1,no
31.0,9,1,1,1641,yes,247.0,1,no
66.0,5,1,2,1612,no,155.0,1,no
47.0,0,1,1,276,no,89.0,1,no
39.0,2,1,2,276,yes,180.0,1,no
35.0,9,1,1,2000,yes,854.0,1,yes
35.0,0,0,1,96,yes,46.0,1,no
27.0,9,1,1,1401,yes,266.0,2,no
32.0,1,1,1,308,yes,321.0,2,no
44.0,4,1,2,975,no,99.0,24,no
42.0,1,1,1,391,yes,147.0,1,no
34.0,6,3,2,2093,no,430.0,1,yes
25.0,7,2,1,658,no,264.0,1,no
40.0,9,2,1,858,no,156.0,6,no
43.0,4,0,2,310,no,118.0,1,no
55.0,10,1,2,642,no,343.0,3,no
50.0,1,1,1,546,yes,226.0,3,no
45.0,4,0,2,274,no,5.0,1,no
35.0,1,0,1,1798,yes,138.0,1,no
32.0,1,1,1,1040,yes,185.0,1,yes
59.0,3,1,1,274,no,722.0,1,no
34.0,6,1,1,108,yes,748.0,1,no
39.0,4,1,2,50,yes,142.0,1,no
40.0,4,2,1,2264,yes,523.0,3,no
36.0,1,2,0,1283,yes,8.0,10,no
40.0,4,1,2,2240,yes,153.0,1,no
55.0,6,1,1,173,yes,210.0,2,no
38.0,2,1,1,289,yes,121.0,1,no
61.0,0,1,1,2011,no,212.0,1,yes
41.0,4,1,2,878,yes,253.0,3,no
57.0,1,1,0,704,yes,139.0,4,no
48.0,1,1,1,422,yes,71.0,1,no
77.0,5,1,2,2203,no,421.0,1,yes
35.0,7,1,1,1343,yes,199.0,1,no
54.0,1,1,1,1354,yes,108.0,1,no
37.0,4,2,3,913,yes,247.0,2,no
56.0,4,2,1,506,yes,236.0,4,no
40.0,9,1,1,898,yes,97.0,4,no
40.0,4,1,2,274,no,109.0,8,no
54.0,4,1,2,329,yes,112.0,2,no
55.0,3,1,0,409,yes,15.0,10,no
55.0,7,0,1,95,yes,502.0,3,no
52.0,1,1,0,962,yes,30.0,3,no
55.0,1,2,0,1223,yes,193.0,2,no
33.0,4,1,2,858,yes,347.0,2,no
52.0,1,1,3,999,yes,468.0,2,no
33.0,7,0,1,1102,yes,148.0,1,no
53.0,0,1,1,1478,no,295.0,1,yes
46.0,0,1,1,296,no,388.0,6,yes
44.0,9,2,1,511,yes,1735.0,4,yes
48.0,4,0,2,1293,yes,339.0,1,no
50.0,3,1,1,2186,yes,172.0,1,no
34.0,9,2,1,2049,yes,117.0,2,no
38.0,9,2,1,525,no,587.0,2,no
42.0,4,2,2,759,yes,501.0,2,no
32.0,4,2,2,2291,no,203.0,5,no
58.0,0,1,1,276,yes,282.0,9,no
31.0,4,1,2,287,no,110.0,5,no
19.0,8,2,0,377,no,104.0,2,yes
41.0,4,1,2,1918,no,231.0,1,no
31.0,10,1,1,559,yes,378.0,3,no
52.0,6,2,0,487,no,193.0,6,no
42.0,6,0,2,620,yes,110.0,5,no
41.0,1,2,1,682,yes,92.0,1,no
30.0,1,2,1,577,no,1407.0,1,yes
38.0,1,1,1,395,yes,168.0,1,no
32.0,4,1,2,994,yes,738.0,3,no
52.0,9,1,1,465,yes,220.0,1,yes
48.0,4,0,2,382,yes,89.0,2,no
36.0,4,1,2,104,yes,30.0,29,no
45.0,10,0,0,943,no,103.0,1,no
34.0,9,1,2,896,yes,70.0,1,no
36.0,1,1,0,1518,yes,904.0,2,yes
34.0,4,1,2,1049,yes,159.0,1,no
61.0,5,1,1,2075,no,336.0,1,no
54.0,7,1,1,274,no,220.0,1,no
50.0,2,1,1,877,no,238.0,1,no
43.0,0,0,1,926,yes,585.0,4,no
47.0,1,1,0,503,no,293.0,3,no
45.0,7,1,1,28,yes,68.0,1,no
57.0,5,1,0,2112,no,97.0,1,no
27.0,0,1,1,1130,yes,1713.0,1,no
49.0,10,0,1,340,no,218.0,3,no
43.0,7,1,0,1687,yes,109.0,1,no
40.0,4,1,2,1405,yes,661.0,1,no
32.0,7,2,1,453,yes,145.0,1,no
58.0,4,1,0,350,yes,54.0,4,no
34.0,0,2,1,875,yes,111.0,1,no
46.0,9,0,1,1858,yes,566.0,2,no
29.0,1,1,1,289,no,136.0,1,no
52.0,1,1,0,1145,no,273.0,1,no
45.0,4,1,2,1375,no,160.0,1,no
26.0,4,2,1,337,no,76.0,4,no
40.0,9,1,2,274,no,44.0,1,no
41.0,0,1,1,1056,yes,239.0,1,no
47.0,0,2,1,1894,no,250.0,2,yes
27.0,9,2,3,333,no,792.0,4,no
27.0,7,1,1,274,yes,198.0,13,no
48.0,1,1,1,430,yes,73.0,1,no
49.0,0,1,1,1663,no,157.0,3,no
35.0,1,1,0,274,yes,90.0,6,no
47.0,6,1,1,276,no,236.0,2,no
54.0,4,1,2,274,no,118.0,5,no
39.0,4,2,2,2287,no,40.0,1,no
28.0,8,2,1,638,yes,346.0,1,no
54.0,1,1,0,481,no,200.0,2,no
34.0,9,1,1,161,yes,187.0,3,no
63.0,5,1,1,1728,no,113.0,1,no
42.0,6,1,2,1522,yes,192.0,32,no
43.0,9,2,1,2277,no,92.0,1,no
37.0,0,1,1,1284,yes,682.0,2,no
55.0,1,1,0,1615,no,139.0,9,no
43.0,4,2,2,1278,no,501.0,2,yes
41.0,1,1,1,917,no,651.0,1,yes
47.0,9,0,1,1759,yes,405.0,13,no
34.0,9,1,1,1345,yes,350.0,1,no
28.0,8,2,1,2282,no,125.0,2,no
36.0,7,1,1,133,yes,36.0,2,no
50.0,9,1,1,1669,yes,35.0,1,no
35.0,1,1,1,115,yes,389.0,2,no
40.0,9,1,1,330,yes,194.0,1,no
26.0,6,2,2,481,no,168.0,3,no
36.0,4,0,2,1880,yes,347.0,3,no
59.0,10,1,0,274,no,3025.0,2,no
28.0,8,2,1,709,no,83.0,13,no
46.0,2,1,3,509,yes,332.0,2,no
50.0,6,1,1,1188,no,219.0,10,no
53.0,4,1,2,1288,yes,427.0,1,no
81.0,5,1,1,275,no,65.0,5,no
35.0,7,0,1,341,yes,192.0,2,no
58.0,5,1,3,1068,no,155.0,1,no
44.0,7,1,1,274,yes,161.0,1,no
38.0,4,1,2,60,yes,533.0,1,no
49.0,1,1,1,442,no,19.0,3,no
33.0,9,2,2,900,no,193.0,1,no
29.0,4,1,2,621,yes,819.0,3,no
28.0,9,2,1,497,no,278.0,1,yes
31.0,0,1,1,505,yes,211.0,3,no
33.0,4,2,2,237,no,617.0,2,no
52.0,9,1,1,463,yes,61.0,2,no
43.0,4,0,2,312,yes,197.0,6,no
32.0,6,2,1,762,yes,34.0,7,no
36.0,6,1,2,290,yes,95.0,4,no
41.0,1,1,1,146,yes,147.0,2,no
43.0,1,1,1,379,no,668.0,2,no
45.0,6,1,2,596,no,87.0,2,no
39.0,9,1,1,1140,no,405.0,1,no
41.0,7,1,1,382,yes,83.0,7,no
31.0,9,1,1,873,no,115.0,1,no
37.0,10,2,2,274,yes,108.0,1,no
28.0,2,1,3,1131,no,113.0,1,no
47.0,3,1,0,471,yes,58.0,2,no
37.0,3,1,0,460,no,148.0,4,no
60.0,5,0,3,240,yes,188.0,1,no
43.0,9,0,1,1328,yes,75.0,3,no
58.0,5,0,2,531,yes,523.0,3,no
52.0,2,1,2,328,yes,103.0,1,no
50.0,1,1,0,2288,yes,146.0,2,no
32.0,7,2,1,1751,no,356.0,1,yes
